county_name,latitude,longitude,arithmetic_mean
Alameda,37.78075260000000,-122.16052320000000,7.611427600000000
Butte,39.761538,-121.84162000000000,7.600915
Calaveras,38.201852,-120.68156700000000,8.036705
Colusa,39.112078,-122.1497655,6.4488580000000000
Contra Costa,37.9482065,-122.1914825,7.0509855000000000
Fresno,36.79169377777780,-119.81167533333300,11.702757222222200
Humboldt,40.746112,-124.18944500000000,4.7578875
Imperial,32.780730500000000,-115.5176295,11.463691500000000
Inyo,36.778776666666700,-118.024285,5.204814666666670
Kern,35.34872116666670,-118.65280800000000,12.553760833333300
Kings,36.2082895,-119.605762,15.109325
Lake,39.0327,-122.92229000000000,2.985246
Los Angeles,34.06016518181820,-118.1826230909090,10.44747372727270
Madera,36.953256,-120.034203,11.213163000000000
Marin,37.97231,-122.520004,6.434682
Mendocino,39.281105,-123.279595,6.326847000000000
Merced,37.2950675,-120.45799250000000,11.607782500000000
Monterey,36.51501783333330,-121.59924133333300,5.8515733333333300
Napa,38.310942,-122.29618900000000,8.578161
Nevada,39.2864175,-120.61394100000000,5.4504315
Orange,33.730325,-117.80719,8.353562500000000
Placer,38.8596372,-121.16691360000000,6.336124
Plumas,39.85460633333330,-120.62673366666700,11.615815333333300
Riverside,33.90654155555560,-117.22498388888900,11.402837722222200
Sacramento,38.61457742857140,-121.360031,8.370973428571430
San Benito,36.844096,-121.362121,4.252557
San Bernardino,34.16136084615390,-117.39764153846200,11.183683846153800
San Diego,32.839876875000000,-116.97803800000000,7.892053
San Francisco,37.765946,-122.39904400000000,7.5833330000000000
San Joaquin,37.89823766666670,-121.26192200000000,11.732469
San Luis Obispo,35.201311750000000,-120.621053,6.946816
San Mateo,37.482934,-122.20337000000000,8.324716
Santa Barbara,34.677492333333300,-120.24117666666700,7.009129000000000
Santa Clara,37.258675,-121.80356575,7.781548000000000
Santa Cruz,37.023495000000000,-122.03672850000000,5.243817
Shasta,40.549985,-122.382011,5.05
Siskiyou,41.726892,-122.633579,4.936207
Solano,38.102507,-122.237976,7.9056935
Sonoma,38.403765,-122.818294,4.641061
Stanislaus,37.59038233333330,-120.94208300000000,10.839491500000000
Sutter,39.138773,-121.618549,8.118519000000000
Tehama,40.17093,-122.25556000000000,4.715956333333330
Tulare,36.332179,-119.291228,14.706780000000000
Ventura,34.31126200000000,-118.90374216666700,8.743767166666670
Yolo,38.66121,-121.73269000000000,6.316667
